id,Name,Team,Position,Expert Rank
92537de5-d0be-45ec-b8ad-bf0ee3ddce60,Jalen McMillan,TB,WR,143.67
5b54e335-28d1-4a11-bca1-3fe22ed959e3,Keaton Mitchell,LAC,RB,145.57
1a2115d5-cf2b-40f2-a512-e4d3fadc60e7,Isiah Pacheco,DET,RB,146.57
e950f611-f934-488d-ad6a-3fac1c89a3f2,Rashid Shaheed,SEA,WR,147.00
9abe9b0f-ac15-496a-9fe6-8e2936d122c1,Tyler Allgeier,ARI,RB,148.00
5d942e20-efde-4e9b-b4be-8112da68037a,Denzel Boston,CLE,WR,149.14
9e0fd3fb-73c5-4f37-b250-1b768168bbf1,Antonio Williams,WAS,WR,151.71
807899c2-41e6-4f82-9091-0d34be8ab610,Jauan Jennings,MIN,WR,155.00
38bdcde6-0f06-4c83-8e57-6a1d562e57b2,Jalen Nailor,LV,WR,159.00
892fedf8-412c-4307-bab0-2a04c33b1642,Nicholas Singleton,TEN,RB,160.29
da4bbb87-fe7f-4d65-9cbe-c3085d2cbfc1,Dylan Sampson,CLE,RB,162.29
9ad5fbe4-e29b-4c36-a7cb-9309acf60abe,Tank Bigsby,PHI,RB,162.86
7d7766b7-6c5c-4a3f-9d89-adda8940df3d,Deebo Samuel,,WR,164.40
5387ce75-723a-46f8-a393-b0bd2207291c,Tre Tucker,LV,WR,165.17
05a6881d-5311-49a0-be02-83b85e831b2b,Tyjae Spears,TEN,RB,165.33
3a013faa-4c46-49e8-bc5d-54d3a9803c1e,Sean Tucker,TB,RB,167.25
77b3cf07-cf9b-4068-832f-4f787e7e7259,De'Zhaun Stribling,SF,WR,168.33
4f3c5505-9940-4dfc-bc57-603892bccb40,Germie Bernard,PIT,WR,168.83
602683fa-4f9e-44ce-b92d-44dcca9ca2a4,Brian Robinson,ATL,RB,169.00
8f61d453-4928-4717-a57e-d8f8f21fa211,Alvin Kamara,NO,RB,169.17
3e027734-95ef-495e-bb49-43caf28f632d,Kaytron Allen,WAS,RB,169.83
52947412-4003-4b6b-9660-5a2aa4ca1bd7,Calvin Ridley,TEN,WR,175.83
58ef4b7e-c240-4470-8313-46a066fd93b9,Emmett Johnson,KC,RB,176.00
bcf68759-6db5-45da-b6d9-859dc7a3ba4e,Darnell Mooney,NYG,WR,176.50
eb6be1fa-c875-4300-87e2-7809671a5a00,Zach Charbonnet,SEA,RB,177.17
3f6dd9e5-b0ac-46bc-bbc5-c6ce3f046a19,Emanuel Wilson,SEA,RB,179.33
f78d35e4-b166-4fc2-8d37-90fe6c95d790,Chris Bell,MIA,WR,180.00
d53f8a01-f0d6-441b-b85a-d69b2095642d,Tre Harris,LAC,WR,181.80
b2f0b4fc-2bbb-424e-a07f-a2d4b9e15e34,Brashard Smith,KC,RB,182.00
